dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003151,14.232001,0.003704,0.148148,2.962963,59.259259,0.000557
0.050000,0.012988,14.232015,0.013541,0.196746,0.971958,-39.820105,0.002297
0.050000,0.029381,14.232076,0.029934,0.327862,2.622326,33.007362,0.005201
0.050000,0.052326,14.232242,0.052880,0.458909,2.620941,-0.027699,0.009272
0.050000,0.081817,14.232593,0.082373,0.589864,2.619098,-0.036853,0.014518
0.050000,0.117847,14.233232,0.118408,0.720709,2.616897,-0.044028,0.020946
0.050000,0.160405,14.234286,0.160980,0.851433,2.614469,-0.048549,0.028564
0.050000,0.209480,14.235904,0.210081,0.982032,2.611984,-0.049699,0.037381
0.050000,0.265056,14.238262,0.265707,1.112514,2.609650,-0.046684,0.047404
0.050000,0.327114,14.241555,0.327852,1.242900,2.607717,-0.038654,0.058641
0.050000,0.395631,14.246005,0.396513,1.373224,2.606483,-0.024682,0.071094
0.050000,0.470579,14.251858,0.471690,1.503539,2.606291,-0.003839,0.084766
0.050000,0.551928,14.259380,0.553386,1.633916,2.607532,0.024815,0.099651
0.050000,0.639639,14.268863,0.641609,1.764448,2.610640,0.062148,0.115740
0.050000,0.733670,14.280619,0.736371,1.895252,2.616084,0.108886,0.133012
0.050000,0.833970,14.294982,0.837695,2.026470,2.624359,0.165511,0.151441
0.050000,0.940484,14.312305,0.945608,2.158268,2.635968,0.232161,0.170986
0.050000,1.053149,14.332958,1.060150,2.290838,2.651392,0.308491,0.191595
0.050000,1.171893,14.357328,1.181369,2.424391,2.671071,0.393579,0.213201
0.050000,1.296641,14.385812,1.309327,2.559159,2.695362,0.485815,0.235720
0.050000,1.427306,14.418818,1.444097,2.695385,2.724505,0.582860,0.259052
0.050000,1.563797,14.456756,1.585762,2.833314,2.758589,0.681688,0.283083
0.050000,1.706016,14.500040,1.734422,2.973190,2.797523,0.778672,0.307677
0.050000,1.853858,14.549074,1.890184,3.115241,2.841014,0.869819,0.332688
0.050000,2.007216,14.604256,2.053167,3.259669,2.888567,0.951060,0.357953
0.050000,2.165977,14.665965,2.223500,3.406644,2.939499,1.018636,0.383297
0.050000,2.330029,14.734557,2.401314,3.556293,2.992972,1.069474,0.408539
0.050000,2.496194,14.808943,2.583369,3.641098,1.696100,-25.937438,0.433048
0.050000,2.661373,14.887674,2.766352,3.659655,0.371155,-26.498898,0.456290
0.050000,2.825582,14.970546,2.950287,3.678702,0.380931,0.195520,0.478231
0.050000,2.988844,15.057347,3.135190,3.698060,0.387153,0.124436,0.498851
0.050000,3.151194,15.147864,3.321069,3.717575,0.390309,0.063109,0.518139
0.050000,3.312675,15.241880,3.507925,3.737120,0.390899,0.011813,0.536092
0.050000,3.473340,15.339177,3.695754,3.756591,0.389417,-0.029654,0.552715
0.050000,3.633250,15.439540,3.884550,3.775907,0.386324,-0.061847,0.568019
0.050000,3.792473,15.542754,4.074300,3.795009,0.382047,-0.085542,0.582019
0.050000,3.951088,15.648608,4.264993,3.813858,0.376965,-0.101645,0.594732
0.050000,4.109179,15.756895,4.456614,3.832428,0.371410,-0.111106,0.606177
0.050000,4.266838,15.867410,4.649150,3.850712,0.365666,-0.114864,0.616373
0.050000,4.424162,15.979955,4.842585,3.868710,0.359976,-0.113806,0.625340
0.050000,4.581257,16.094332,5.036907,3.886437,0.354539,-0.108745,0.633096
0.050000,4.738233,16.210350,5.232103,3.903913,0.349519,-0.100406,0.639659
0.050000,4.895203,16.327820,5.428161,3.921166,0.345047,-0.089429,0.645044
0.050000,5.052288,16.446557,5.625073,3.938227,0.341229,-0.076369,0.649263
0.050000,5.209612,16.566377,5.822829,3.955134,0.338144,-0.061704,0.652327
0.050000,5.367304,16.687099,6.021426,3.971927,0.335851,-0.045849,0.654245
0.050000,5.525496,16.808542,6.220858,3.988646,0.334393,-0.029169,0.655021
0.050000,5.684325,16.930525,6.421125,4.005336,0.333793,-0.011990,0.654656
0.050000,5.843931,17.052869,6.622227,4.022039,0.334062,0.005387,0.653151
0.050000,6.004458,17.175388,6.824167,4.038799,0.335196,0.022668,0.650500
0.050000,6.166050,17.297899,7.026950,4.055658,0.337174,0.039557,0.646698
0.050000,6.328857,17.420211,7.230582,4.072656,0.339961,0.055739,0.641735
0.050000,6.493030,17.542129,7.435074,4.089831,0.343504,0.070865,0.635599
0.050000,6.658720,17.663454,7.640435,4.107217,0.347731,0.084539,0.628275
0.050000,6.826083,17.783976,7.846677,4.124845,0.352546,0.096309,0.619746
0.050000,6.995270,17.903481,8.053814,4.142736,0.357829,0.105648,0.609995
0.050000,7.166435,18.021740,8.261859,4.160907,0.363426,0.111948,0.599003
0.050000,7.339729,18.138519,8.470827,4.179365,0.369152,0.114518,0.586749
0.050000,7.515297,18.253567,8.680733,4.198104,0.374781,0.112577,0.573216
0.050000,7.693281,18.366623,8.891588,4.217106,0.380044,0.105263,0.558383
0.050000,7.873814,18.477411,9.103405,4.236338,0.384627,0.091655,0.542237
0.050000,8.057019,18.585644,9.316192,4.255746,0.388167,0.070805,0.524764
0.050000,8.243007,18.691016,9.529955,4.275259,0.390256,0.041787,0.505958
0.050000,8.431869,18.793211,9.744694,4.294781,0.390445,0.003767,0.485818
0.050000,8.623680,18.891899,9.960404,4.314193,0.388250,-0.043895,0.464351
0.050000,8.818488,18.986739,10.177071,4.333352,0.383173,-0.101542,0.441574
0.050000,9.016315,19.077381,10.394676,4.352088,0.374719,-0.169084,0.417518
0.050000,9.214753,19.162478,10.610590,4.318294,-0.675873,-21.011829,0.392529
0.050000,9.409856,19.240393,10.820675,4.201697,-2.331941,-33.121371,0.367206
0.050000,9.599913,19.310766,11.023342,4.053342,-2.967110,-12.703374,0.341897
0.050000,9.784542,19.373882,11.218462,3.902392,-3.019002,-1.037829,0.316780
0.050000,9.963372,19.430073,11.405912,3.749001,-3.067815,-0.976264,0.292021
0.050000,10.136046,19.479714,11.585580,3.593361,-3.112807,-0.899839,0.267775
0.050000,10.302232,19.523214,11.757365,3.435690,-3.153412,-0.812096,0.244179
0.050000,10.461624,19.561004,11.921176,3.276227,-3.189262,-0.717018,0.221358
0.050000,10.613950,19.593536,12.076937,3.115217,-3.220195,-0.618653,0.199415
0.050000,10.758968,19.621266,12.224582,2.952905,-3.246234,-0.520780,0.178440
0.050000,10.896469,19.644654,12.364058,2.789527,-3.267567,-0.426657,0.158506
0.050000,11.026278,19.664153,12.495324,2.625302,-3.284511,-0.338883,0.139671
0.050000,11.148248,19.680202,12.618345,2.460428,-3.297477,-0.259323,0.121979
0.050000,11.262261,19.693223,12.733099,2.295081,-3.306935,-0.189150,0.105462
0.050000,11.368223,19.703620,12.839570,2.129412,-3.313380,-0.128906,0.090142
0.050000,11.466062,19.711767,12.937747,1.963546,-3.317311,-0.078626,0.076033
0.050000,11.555723,19.718017,13.027626,1.797586,-3.319208,-0.037936,0.063140
0.050000,11.637170,19.722689,13.109207,1.631610,-3.319518,-0.006201,0.051466
0.050000,11.710376,19.726076,13.182491,1.465678,-3.318647,0.017417,0.041006
0.050000,11.775324,19.728439,13.247482,1.299830,-3.316957,0.033814,0.031756
0.050000,11.832007,19.730012,13.304187,1.134092,-3.314759,0.043946,0.023707
0.050000,11.880421,19.730994,13.352610,0.968476,-3.312323,0.048729,0.016852
0.050000,11.920566,19.731556,13.392760,0.802982,-3.309870,0.049055,0.011181
0.050000,11.952445,19.731841,13.424640,0.637603,-3.307584,0.045714,0.006687
0.050000,11.976061,19.731960,13.448256,0.472323,-3.305610,0.039485,0.003364
0.050000,11.991416,19.731995,13.463612,0.307120,-3.304059,0.031020,0.001206
0.050000,11.998515,19.732000,13.470710,0.141969,-3.303011,0.020971,0.000209
0.050000,12.000000,19.732000,13.472195,0.029702,-2.245340,21.153418,0.000000
0.050000,12.000000,19.732000,13.472195,0.000000,-0.594041,33.025974,0.000000
