dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003966,12.768001,0.003704,0.148148,2.962963,59.259259,0.000557
0.050000,0.016351,12.768019,0.016089,0.247698,1.991004,-19.439179,0.002297
0.050000,0.036995,12.768096,0.036733,0.412878,3.303596,26.251843,0.005201
0.050000,0.065900,12.768305,0.065639,0.578127,3.304976,0.027593,0.009272
0.050000,0.103071,12.768747,0.102812,0.743468,3.306812,0.036716,0.014518
0.050000,0.148510,12.769553,0.148258,0.908918,3.309004,0.043839,0.020946
0.050000,0.202218,12.770883,0.201983,1.074489,3.311419,0.048319,0.028564
0.050000,0.264193,12.772927,0.263992,1.240183,3.313891,0.049425,0.037381
0.050000,0.334430,12.775906,0.334291,1.405994,3.316209,0.046366,0.047404
0.050000,0.412914,12.780071,0.412886,1.571900,3.318123,0.038280,0.058641
0.050000,0.499625,12.785704,0.499780,1.737867,3.319337,0.024272,0.071094
0.050000,0.594528,12.793114,0.594972,1.903842,3.319506,0.003385,0.084766
0.050000,0.697576,12.802643,0.698460,2.069754,3.318241,-0.025306,0.099651
0.050000,0.808704,12.814658,0.810235,2.235509,3.315107,-0.062665,0.115740
0.050000,0.927826,12.829551,0.930285,2.400991,3.309637,-0.109413,0.133012
0.050000,1.054834,12.847738,1.058587,2.566058,3.301335,-0.166037,0.151441
0.050000,1.189590,12.869654,1.195115,2.730543,3.289702,-0.232658,0.170986
0.050000,1.331931,12.895747,1.339827,2.894256,3.274255,-0.308940,0.191595
0.050000,1.481660,12.926475,1.492677,3.056984,3.254558,-0.393942,0.213201
0.050000,1.638547,12.962297,1.653601,3.218496,3.230255,-0.486058,0.235720
0.050000,1.802331,13.003667,1.822529,3.378552,3.201107,-0.582958,0.259052
0.050000,1.972717,13.051025,1.999374,3.536903,3.167027,-0.681602,0.283083
0.050000,2.149382,13.104790,2.184040,3.693308,3.128108,-0.778378,0.307677
0.050000,2.331979,13.165348,2.376417,3.847541,3.084643,-0.869298,0.332688
0.050000,2.520139,13.233050,2.576386,3.999397,3.037128,-0.950311,0.357953
0.050000,2.713485,13.308198,2.783822,4.148709,2.986244,-1.017664,0.383297
0.050000,2.911631,13.391041,2.998589,4.295351,2.932829,-1.068305,0.408539
0.050000,3.110546,13.480083,3.216525,4.358702,1.267027,-33.316041,0.433048
0.050000,3.306442,13.573451,3.433533,4.340164,-0.370752,-32.755581,0.456290
0.050000,3.499329,13.670792,3.649590,4.321137,-0.380540,-0.195753,0.478231
0.050000,3.689247,13.771761,3.864680,4.301799,-0.386778,-0.124770,0.498851
0.050000,3.876261,13.876025,4.078795,4.282301,-0.389954,-0.063519,0.518139
0.050000,4.060457,13.983262,4.291933,4.262772,-0.390568,-0.012277,0.536092
0.050000,4.241940,14.093163,4.504099,4.243317,-0.389110,0.029158,0.552715
0.050000,4.420828,14.205434,4.715300,4.224015,-0.386043,0.061332,0.568019
0.050000,4.597251,14.319795,4.925546,4.204925,-0.381792,0.085024,0.582019
0.050000,4.771348,14.435979,5.134850,4.186088,-0.376736,0.101132,0.594732
0.050000,4.943263,14.553733,5.343227,4.167528,-0.371205,0.110606,0.606177
0.050000,5.113146,14.672815,5.550690,4.149254,-0.365486,0.114382,0.616373
0.050000,5.281148,14.792996,5.757253,4.131263,-0.359819,0.113344,0.625340
0.050000,5.447424,14.914056,5.962930,4.113543,-0.354404,0.108303,0.633096
0.050000,5.612126,15.035784,6.167733,4.096072,-0.349405,0.099985,0.639659
0.050000,5.775408,15.157976,6.371675,4.078825,-0.344953,0.089027,0.645044
0.050000,5.937421,15.280437,6.574763,4.061767,-0.341154,0.075984,0.649263
0.050000,6.098315,15.402975,6.777006,4.044863,-0.338087,0.061333,0.652327
0.050000,6.258236,15.525403,6.978410,4.028072,-0.335813,0.045490,0.654245
0.050000,6.417329,15.647538,7.178977,4.011353,-0.334372,0.028818,0.655021
0.050000,6.575735,15.769197,7.378711,3.994664,-0.333790,0.011643,0.654656
0.050000,6.733592,15.890199,7.577609,3.977960,-0.334077,-0.005733,0.653151
0.050000,6.891033,16.010365,7.775669,3.961199,-0.335228,-0.023018,0.650500
0.050000,7.048190,16.129513,7.972886,3.944338,-0.337223,-0.039914,0.646698
0.050000,7.205187,16.247462,8.169252,3.927336,-0.340028,-0.056105,0.641735
0.050000,7.362147,16.364025,8.364760,3.910157,-0.343591,-0.071244,0.635599
0.050000,7.519186,16.479015,8.559398,3.892765,-0.347837,-0.084935,0.628275
0.050000,7.676416,16.592242,8.753155,3.875131,-0.352674,-0.096723,0.619746
0.050000,7.833943,16.703512,8.946017,3.857232,-0.357978,-0.106081,0.609995
0.050000,7.991867,16.812625,9.137969,3.839052,-0.363598,-0.112403,0.599003
0.050000,8.150283,16.919380,9.328998,3.820585,-0.369347,-0.114993,0.586749
0.050000,8.309277,17.023570,9.519090,3.801835,-0.375001,-0.113070,0.573216
0.050000,8.468931,17.124986,9.708231,3.782820,-0.380289,-0.105771,0.558383
0.050000,8.629316,17.223413,9.896410,3.763576,-0.384898,-0.092173,0.542237
0.050000,8.790496,17.318636,10.083618,3.744152,-0.388464,-0.071322,0.524764
0.050000,8.952528,17.410440,10.269849,3.724623,-0.390579,-0.042292,0.505958
0.050000,9.115457,17.498605,10.455103,3.705084,-0.390791,-0.004246,0.485818
0.050000,9.279321,17.582918,10.639386,3.685653,-0.388618,0.043463,0.464351
0.050000,9.444148,17.663166,10.822709,3.666475,-0.383559,0.101178,0.441574
0.050000,9.609956,17.739141,11.005095,3.647719,-0.375118,0.168812,0.417518
0.050000,9.774772,17.809823,11.184428,3.586650,-1.221388,-16.925395,0.392529
0.050000,9.935445,17.873992,11.357440,3.460249,-2.528008,-26.132405,0.367206
0.050000,10.090755,17.931501,11.523056,3.312317,-2.958653,-8.612890,0.341897
0.050000,10.240590,17.982725,11.681405,3.166981,-2.906709,1.038876,0.316780
0.050000,10.384840,18.028053,11.832610,3.024088,-2.857854,0.977095,0.292021
0.050000,10.523400,18.067888,11.976782,2.883447,-2.812832,0.900443,0.267775
0.050000,10.656169,18.102642,12.114024,2.744836,-2.772209,0.812470,0.244179
0.050000,10.783052,18.132726,12.244425,2.608019,-2.736350,0.717177,0.221358
0.050000,10.903963,18.158548,12.368062,2.472748,-2.705419,0.618620,0.199415
0.050000,11.018820,18.180512,12.485001,2.338778,-2.679390,0.520584,0.178440
0.050000,11.127552,18.199007,12.595295,2.205875,-2.658073,0.426335,0.158506
0.050000,11.230093,18.214410,12.698986,2.073817,-2.641150,0.338463,0.139671
0.050000,11.326383,18.227079,12.796106,1.942407,-2.628208,0.258841,0.121979
0.050000,11.416372,18.237357,12.886679,1.811468,-2.618776,0.188631,0.105462
0.050000,11.500012,18.245564,12.970722,1.680850,-2.612357,0.128378,0.090142
0.050000,11.577266,18.251997,13.048243,1.550428,-2.608452,0.078102,0.076033
0.050000,11.648100,18.256934,13.119248,1.420099,-2.606580,0.037438,0.063140
0.050000,11.712483,18.260627,13.183737,1.289784,-2.606294,0.005728,0.051466
0.050000,11.770392,18.263306,13.241708,1.159425,-2.607186,-0.017840,0.041006
0.050000,11.821807,18.265178,13.293157,1.028980,-2.608896,-0.034200,0.031756
0.050000,11.866711,18.266423,13.338079,0.898424,-2.611110,-0.044284,0.023707
0.050000,11.905090,18.267201,13.376466,0.767746,-2.613561,-0.049026,0.016852
0.050000,11.936935,18.267648,13.408313,0.636945,-2.616026,-0.049293,0.011181
0.050000,11.962235,18.267874,13.433615,0.506029,-2.618322,-0.045923,0.006687
0.050000,11.980985,18.267968,13.452365,0.375014,-2.620304,-0.039636,0.003364
0.050000,11.993181,18.267996,13.464561,0.243920,-2.621861,-0.031141,0.001206
0.050000,11.998820,18.268000,13.470200,0.112775,-2.622913,-0.021044,0.000209
0.050000,12.000000,18.268000,13.471380,0.023596,-1.783580,16.786667,0.000000
0.050000,12.000000,18.268000,13.471380,0.000000,-0.471916,26.233276,0.000000
