dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003966,14.231999,0.003704,0.148148,2.962963,59.259259,6.282628
0.050000,0.016351,14.231981,0.016089,0.247698,1.991004,-19.439179,6.280888
0.050000,0.036995,14.231904,0.036733,0.412878,3.303596,26.251843,6.277985
0.050000,0.065900,14.231695,0.065639,0.578127,3.304976,0.027593,6.273913
0.050000,0.103071,14.231253,0.102812,0.743468,3.306812,0.036716,6.268667
0.050000,0.148510,14.230447,0.148258,0.908918,3.309004,0.043839,6.262239
0.050000,0.202218,14.229117,0.201983,1.074489,3.311419,0.048319,6.254621
0.050000,0.264193,14.227073,0.263992,1.240183,3.313891,0.049425,6.245804
0.050000,0.334430,14.224094,0.334291,1.405994,3.316209,0.046366,6.235781
0.050000,0.412914,14.219929,0.412886,1.571900,3.318123,0.038280,6.224545
0.050000,0.499625,14.214296,0.499780,1.737867,3.319337,0.024272,6.212091
0.050000,0.594528,14.206886,0.594972,1.903842,3.319506,0.003385,6.198419
0.050000,0.697576,14.197357,0.698460,2.069754,3.318241,-0.025306,6.183534
0.050000,0.808704,14.185342,0.810235,2.235509,3.315107,-0.062665,6.167446
0.050000,0.927826,14.170449,0.930285,2.400991,3.309637,-0.109413,6.150173
0.050000,1.054834,14.152262,1.058587,2.566058,3.301335,-0.166037,6.131744
0.050000,1.189590,14.130346,1.195115,2.730543,3.289702,-0.232658,6.112199
0.050000,1.331931,14.104253,1.339827,2.894256,3.274255,-0.308940,6.091590
0.050000,1.481660,14.073525,1.492677,3.056984,3.254558,-0.393942,6.069985
0.050000,1.638547,14.037703,1.653601,3.218496,3.230255,-0.486058,6.047466
0.050000,1.802331,13.996333,1.822529,3.378552,3.201107,-0.582958,6.024133
0.050000,1.972717,13.948975,1.999374,3.536903,3.167027,-0.681602,6.000103
0.050000,2.149382,13.895210,2.184040,3.693308,3.128108,-0.778378,5.975508
0.050000,2.331979,13.834652,2.376417,3.847541,3.084643,-0.869298,5.950497
0.050000,2.520139,13.766950,2.576386,3.999397,3.037128,-0.950311,5.925232
0.050000,2.713485,13.691802,2.783822,4.148709,2.986244,-1.017664,5.899888
0.050000,2.911631,13.608959,2.998589,4.295351,2.932829,-1.068305,5.874646
0.050000,3.110546,13.519917,3.216525,4.358702,1.267027,-33.316041,5.850137
0.050000,3.306442,13.426549,3.433533,4.340164,-0.370752,-32.755581,5.826895
0.050000,3.499329,13.329208,3.649590,4.321137,-0.380540,-0.195753,5.804954
0.050000,3.689247,13.228239,3.864680,4.301799,-0.386778,-0.124770,5.784334
0.050000,3.876261,13.123975,4.078795,4.282301,-0.389954,-0.063519,5.765047
0.050000,4.060457,13.016738,4.291933,4.262772,-0.390568,-0.012277,5.747094
0.050000,4.241940,12.906837,4.504099,4.243317,-0.389110,0.029158,5.730470
0.050000,4.420828,12.794566,4.715300,4.224015,-0.386043,0.061332,5.715166
0.050000,4.597251,12.680205,4.925546,4.204925,-0.381792,0.085024,5.701166
0.050000,4.771348,12.564021,5.134850,4.186088,-0.376736,0.101132,5.688453
0.050000,4.943263,12.446267,5.343227,4.167528,-0.371205,0.110606,5.677008
0.050000,5.113146,12.327185,5.550690,4.149254,-0.365486,0.114382,5.666812
0.050000,5.281148,12.207004,5.757253,4.131263,-0.359819,0.113344,5.657845
0.050000,5.447424,12.085944,5.962930,4.113543,-0.354404,0.108303,5.650089
0.050000,5.612126,11.964216,6.167733,4.096072,-0.349405,0.099985,5.643526
0.050000,5.775408,11.842024,6.371675,4.078825,-0.344953,0.089027,5.638142
0.050000,5.937421,11.719563,6.574763,4.061767,-0.341154,0.075984,5.633922
0.050000,6.098315,11.597025,6.777006,4.044863,-0.338087,0.061333,5.630858
0.050000,6.258236,11.474597,6.978410,4.028072,-0.335813,0.045490,5.628940
0.050000,6.417329,11.352462,7.178977,4.011353,-0.334372,0.028818,5.628165
0.050000,6.575735,11.230803,7.378711,3.994664,-0.333790,0.011643,5.628529
0.050000,6.733592,11.109801,7.577609,3.977960,-0.334077,-0.005733,5.630035
0.050000,6.891033,10.989635,7.775669,3.961199,-0.335228,-0.023018,5.632685
0.050000,7.048190,10.870487,7.972886,3.944338,-0.337223,-0.039914,5.636487
0.050000,7.205187,10.752538,8.169252,3.927336,-0.340028,-0.056105,5.641450
0.050000,7.362147,10.635975,8.364760,3.910157,-0.343591,-0.071244,5.647586
0.050000,7.519186,10.520985,8.559398,3.892765,-0.347837,-0.084935,5.654911
0.050000,7.676416,10.407758,8.753155,3.875131,-0.352674,-0.096723,5.663439
0.050000,7.833943,10.296488,8.946017,3.857232,-0.357978,-0.106081,5.673190
0.050000,7.991867,10.187375,9.137969,3.839052,-0.363598,-0.112403,5.684182
0.050000,8.150283,10.080620,9.328998,3.820585,-0.369347,-0.114993,5.696436
0.050000,8.309277,9.976430,9.519090,3.801835,-0.375001,-0.113070,5.709970
0.050000,8.468931,9.875014,9.708231,3.782820,-0.380289,-0.105771,5.724802
0.050000,8.629316,9.776587,9.896410,3.763576,-0.384898,-0.092173,5.740948
0.050000,8.790496,9.681364,10.083618,3.744152,-0.388464,-0.071322,5.758421
0.050000,8.952528,9.589560,10.269849,3.724623,-0.390579,-0.042292,5.777227
0.050000,9.115457,9.501395,10.455103,3.705084,-0.390791,-0.004246,5.797368
0.050000,9.279321,9.417082,10.639386,3.685653,-0.388618,0.043463,5.818834
0.050000,9.444148,9.336834,10.822709,3.666475,-0.383559,0.101178,5.841611
0.050000,9.609956,9.260859,11.005095,3.647719,-0.375118,0.168812,5.865668
0.050000,9.774772,9.190177,11.184428,3.586650,-1.221388,-16.925395,5.890656
0.050000,9.935445,9.126008,11.357440,3.460249,-2.528008,-26.132405,5.915980
0.050000,10.090755,9.068499,11.523056,3.312317,-2.958653,-8.612890,5.941289
0.050000,10.240590,9.017275,11.681405,3.166981,-2.906709,1.038876,5.966406
0.050000,10.384840,8.971947,11.832610,3.024088,-2.857854,0.977095,5.991164
0.050000,10.523400,8.932112,11.976782,2.883447,-2.812832,0.900443,6.015411
0.050000,10.656169,8.897358,12.114024,2.744836,-2.772209,0.812470,6.039006
0.050000,10.783052,8.867274,12.244425,2.608019,-2.736350,0.717177,6.061828
0.050000,10.903963,8.841452,12.368062,2.472748,-2.705419,0.618620,6.083770
0.050000,11.018820,8.819488,12.485001,2.338778,-2.679390,0.520584,6.104745
0.050000,11.127552,8.800993,12.595295,2.205875,-2.658073,0.426335,6.124679
0.050000,11.230093,8.785590,12.698986,2.073817,-2.641150,0.338463,6.143514
0.050000,11.326383,8.772921,12.796106,1.942407,-2.628208,0.258841,6.161206
0.050000,11.416372,8.762643,12.886679,1.811468,-2.618776,0.188631,6.177723
0.050000,11.500012,8.754436,12.970722,1.680850,-2.612357,0.128378,6.193043
0.050000,11.577266,8.748003,13.048243,1.550428,-2.608452,0.078102,6.207152
0.050000,11.648100,8.743066,13.119248,1.420099,-2.606580,0.037438,6.220045
0.050000,11.712483,8.739373,13.183737,1.289784,-2.606294,0.005728,6.231719
0.050000,11.770392,8.736694,13.241708,1.159425,-2.607186,-0.017840,6.242179
0.050000,11.821807,8.734822,13.293157,1.028980,-2.608896,-0.034200,6.251429
0.050000,11.866711,8.733577,13.338079,0.898424,-2.611110,-0.044284,6.259478
0.050000,11.905090,8.732799,13.376466,0.767746,-2.613561,-0.049026,6.266334
0.050000,11.936935,8.732352,13.408313,0.636945,-2.616026,-0.049293,6.272004
0.050000,11.962235,8.732126,13.433615,0.506029,-2.618322,-0.045923,6.276498
0.050000,11.980985,8.732032,13.452365,0.375014,-2.620304,-0.039636,6.279821
0.050000,11.993181,8.732004,13.464561,0.243920,-2.621861,-0.031141,6.281980
0.050000,11.998820,8.732000,13.470200,0.112775,-2.622913,-0.021044,6.282977
0.050000,12.000000,8.732000,13.471380,0.023596,-1.783580,16.786667,0.000000
0.050000,12.000000,8.732000,13.471380,0.000000,-0.471916,26.233276,0.000000
