dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003151,12.767999,0.003704,0.148148,2.962963,59.259259,6.282628
0.050000,0.012988,12.767985,0.013541,0.196746,0.971958,-39.820105,6.280888
0.050000,0.029381,12.767924,0.029934,0.327862,2.622326,33.007362,6.277985
0.050000,0.052326,12.767758,0.052880,0.458909,2.620941,-0.027699,6.273913
0.050000,0.081817,12.767407,0.082373,0.589864,2.619098,-0.036853,6.268667
0.050000,0.117847,12.766768,0.118408,0.720709,2.616897,-0.044028,6.262239
0.050000,0.160405,12.765714,0.160980,0.851433,2.614469,-0.048549,6.254621
0.050000,0.209480,12.764096,0.210081,0.982032,2.611984,-0.049699,6.245804
0.050000,0.265056,12.761738,0.265707,1.112514,2.609650,-0.046684,6.235781
0.050000,0.327114,12.758445,0.327852,1.242900,2.607717,-0.038654,6.224545
0.050000,0.395631,12.753995,0.396513,1.373224,2.606483,-0.024682,6.212091
0.050000,0.470579,12.748142,0.471690,1.503539,2.606291,-0.003839,6.198419
0.050000,0.551928,12.740620,0.553386,1.633916,2.607532,0.024815,6.183534
0.050000,0.639639,12.731137,0.641609,1.764448,2.610640,0.062148,6.167446
0.050000,0.733670,12.719381,0.736371,1.895252,2.616084,0.108886,6.150173
0.050000,0.833970,12.705018,0.837695,2.026470,2.624359,0.165511,6.131744
0.050000,0.940484,12.687695,0.945608,2.158268,2.635968,0.232161,6.112199
0.050000,1.053149,12.667042,1.060150,2.290838,2.651392,0.308491,6.091590
0.050000,1.171893,12.642672,1.181369,2.424391,2.671071,0.393579,6.069985
0.050000,1.296641,12.614188,1.309327,2.559159,2.695362,0.485815,6.047466
0.050000,1.427306,12.581182,1.444097,2.695385,2.724505,0.582860,6.024133
0.050000,1.563797,12.543244,1.585762,2.833314,2.758589,0.681688,6.000103
0.050000,1.706016,12.499960,1.734422,2.973190,2.797523,0.778672,5.975508
0.050000,1.853858,12.450926,1.890184,3.115241,2.841014,0.869819,5.950497
0.050000,2.007216,12.395744,2.053167,3.259669,2.888567,0.951060,5.925232
0.050000,2.165977,12.334035,2.223500,3.406644,2.939499,1.018636,5.899888
0.050000,2.330029,12.265443,2.401314,3.556293,2.992972,1.069474,5.874646
0.050000,2.496194,12.191057,2.583369,3.641098,1.696100,-25.937438,5.850137
0.050000,2.661373,12.112326,2.766352,3.659655,0.371155,-26.498898,5.826895
0.050000,2.825582,12.029454,2.950287,3.678702,0.380931,0.195520,5.804954
0.050000,2.988844,11.942653,3.135190,3.698060,0.387153,0.124436,5.784334
0.050000,3.151194,11.852136,3.321069,3.717575,0.390309,0.063109,5.765047
0.050000,3.312675,11.758120,3.507925,3.737120,0.390899,0.011813,5.747094
0.050000,3.473340,11.660823,3.695754,3.756591,0.389417,-0.029654,5.730470
0.050000,3.633250,11.560460,3.884550,3.775907,0.386324,-0.061847,5.715166
0.050000,3.792473,11.457246,4.074300,3.795009,0.382047,-0.085542,5.701166
0.050000,3.951088,11.351392,4.264993,3.813858,0.376965,-0.101645,5.688453
0.050000,4.109179,11.243105,4.456614,3.832428,0.371410,-0.111106,5.677008
0.050000,4.266838,11.132590,4.649150,3.850712,0.365666,-0.114864,5.666812
0.050000,4.424162,11.020045,4.842585,3.868710,0.359976,-0.113806,5.657845
0.050000,4.581257,10.905668,5.036907,3.886437,0.354539,-0.108745,5.650089
0.050000,4.738233,10.789650,5.232103,3.903913,0.349519,-0.100406,5.643526
0.050000,4.895203,10.672180,5.428161,3.921166,0.345047,-0.089429,5.638142
0.050000,5.052288,10.553443,5.625073,3.938227,0.341229,-0.076369,5.633922
0.050000,5.209612,10.433623,5.822829,3.955134,0.338144,-0.061704,5.630858
0.050000,5.367304,10.312901,6.021426,3.971927,0.335851,-0.045849,5.628940
0.050000,5.525496,10.191458,6.220858,3.988646,0.334393,-0.029169,5.628165
0.050000,5.684325,10.069475,6.421125,4.005336,0.333793,-0.011990,5.628529
0.050000,5.843931,9.947131,6.622227,4.022039,0.334062,0.005387,5.630035
0.050000,6.004458,9.824612,6.824167,4.038799,0.335196,0.022668,5.632685
0.050000,6.166050,9.702101,7.026950,4.055658,0.337174,0.039557,5.636487
0.050000,6.328857,9.579789,7.230582,4.072656,0.339961,0.055739,5.641450
0.050000,6.493030,9.457871,7.435074,4.089831,0.343504,0.070865,5.647586
0.050000,6.658720,9.336546,7.640435,4.107217,0.347731,0.084539,5.654911
0.050000,6.826083,9.216024,7.846677,4.124845,0.352546,0.096309,5.663439
0.050000,6.995270,9.096519,8.053814,4.142736,0.357829,0.105648,5.673190
0.050000,7.166435,8.978260,8.261859,4.160907,0.363426,0.111948,5.684182
0.050000,7.339729,8.861481,8.470827,4.179365,0.369152,0.114518,5.696436
0.050000,7.515297,8.746433,8.680733,4.198104,0.374781,0.112577,5.709970
0.050000,7.693281,8.633377,8.891588,4.217106,0.380044,0.105263,5.724802
0.050000,7.873814,8.522589,9.103405,4.236338,0.384627,0.091655,5.740948
0.050000,8.057019,8.414356,9.316192,4.255746,0.388167,0.070805,5.758421
0.050000,8.243007,8.308984,9.529955,4.275259,0.390256,0.041787,5.777227
0.050000,8.431869,8.206789,9.744694,4.294781,0.390445,0.003767,5.797368
0.050000,8.623680,8.108101,9.960404,4.314193,0.388250,-0.043895,5.818834
0.050000,8.818488,8.013261,10.177071,4.333352,0.383173,-0.101542,5.841611
0.050000,9.016315,7.922619,10.394676,4.352088,0.374719,-0.169084,5.865668
0.050000,9.214753,7.837522,10.610590,4.318294,-0.675873,-21.011829,5.890656
0.050000,9.409856,7.759607,10.820675,4.201697,-2.331941,-33.121371,5.915980
0.050000,9.599913,7.689234,11.023342,4.053342,-2.967110,-12.703374,5.941289
0.050000,9.784542,7.626118,11.218462,3.902392,-3.019002,-1.037829,5.966406
0.050000,9.963372,7.569927,11.405912,3.749001,-3.067815,-0.976264,5.991164
0.050000,10.136046,7.520286,11.585580,3.593361,-3.112807,-0.899839,6.015411
0.050000,10.302232,7.476786,11.757365,3.435690,-3.153412,-0.812096,6.039006
0.050000,10.461624,7.438996,11.921176,3.276227,-3.189262,-0.717018,6.061828
0.050000,10.613950,7.406464,12.076937,3.115217,-3.220195,-0.618653,6.083770
0.050000,10.758968,7.378734,12.224582,2.952905,-3.246234,-0.520780,6.104745
0.050000,10.896469,7.355346,12.364058,2.789527,-3.267567,-0.426657,6.124679
0.050000,11.026278,7.335847,12.495324,2.625302,-3.284511,-0.338883,6.143514
0.050000,11.148248,7.319798,12.618345,2.460428,-3.297477,-0.259323,6.161206
0.050000,11.262261,7.306777,12.733099,2.295081,-3.306935,-0.189150,6.177723
0.050000,11.368223,7.296380,12.839570,2.129412,-3.313380,-0.128906,6.193043
0.050000,11.466062,7.288233,12.937747,1.963546,-3.317311,-0.078626,6.207152
0.050000,11.555723,7.281983,13.027626,1.797586,-3.319208,-0.037936,6.220045
0.050000,11.637170,7.277311,13.109207,1.631610,-3.319518,-0.006201,6.231719
0.050000,11.710376,7.273924,13.182491,1.465678,-3.318647,0.017417,6.242179
0.050000,11.775324,7.271561,13.247482,1.299830,-3.316957,0.033814,6.251429
0.050000,11.832007,7.269988,13.304187,1.134092,-3.314759,0.043946,6.259478
0.050000,11.880421,7.269006,13.352610,0.968476,-3.312323,0.048729,6.266334
0.050000,11.920566,7.268444,13.392760,0.802982,-3.309870,0.049055,6.272004
0.050000,11.952445,7.268159,13.424640,0.637603,-3.307584,0.045714,6.276498
0.050000,11.976061,7.268040,13.448256,0.472323,-3.305610,0.039485,6.279821
